1990,0.849
1991,0.854
1992,0.861
1993,0.869
1994,0.883
1995,0.881
1996,0.887
1997,0.893
1998,0.904
1999,0.909
2000,0.915
2001,0.914
2002,0.917
2003,0.923
2004,0.932
2005,0.931
2006,0.934
2007,0.936
2008,0.937
2009,0.937
2010,0.94
2011,0.942
2012,0.941
2013,0.944
2014,0.944
2015,0.947
2016,0.95
2017,0.954
2018,0.956
2019,0.957
